"customer_id","first_name","surname","postcode","age","all_linked_ids","in_purchase","in_crm_base","in_customer_base","is_guest","is_registered"
7466,"eve","richards","hr90pt",45,NA,TRUE,FALSE,TRUE,FALSE,TRUE
31266,"harley","palmer","hr250ej",33,"[5411]",TRUE,TRUE,FALSE,FALSE,TRUE
534142828,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
1035,"luca","gibson","de256nh",30,NA,TRUE,FALSE,TRUE,FALSE,TRUE
26434,"bailey","richardson","sw988af",31,"[27761]",TRUE,TRUE,TRUE,FALSE,TRUE
28961,"skye","johnson","m80na",54,"[12140]",TRUE,FALSE,TRUE,FALSE,TRUE
2390,"reece","harvey","de712ns",93,NA,TRUE,FALSE,TRUE,FALSE,TRUE
8350,"james","taylor","ls451gn",10,NA,TRUE,FALSE,TRUE,FALSE,TRUE
17149,"tia","bennett","po493zr",94,NA,TRUE,FALSE,TRUE,FALSE,TRUE
12586,"max","moore","m902xx",20,"[32914]",TRUE,TRUE,FALSE,FALSE,TRUE
22825,"alicia","wood","so879un",24,"[28495]",TRUE,FALSE,TRUE,FALSE,TRUE
3160,"ben","wilson","ex264wu",35,NA,TRUE,FALSE,TRUE,FALSE,TRUE
979,"madison","james","de256ng",26,NA,TRUE,TRUE,TRUE,FALSE,TRUE
20589,"leo","moore","rg857yf",5,NA,TRUE,FALSE,TRUE,FALSE,TRUE
16412,"harrison","matthews","po377ys",0,"[28228]",TRUE,TRUE,FALSE,FALSE,TRUE
8927,"austin","bailey","ls58tz",19,NA,TRUE,FALSE,TRUE,FALSE,TRUE
29915,"jamie","hill","so751eh",58,"[22522]",TRUE,FALSE,TRUE,FALSE,TRUE
13583,"isabella","edwards","nw374jl",3,NA,TRUE,FALSE,TRUE,FALSE,TRUE
22703,"harry","hall","so760sy",3,NA,TRUE,FALSE,TRUE,FALSE,TRUE
26039,"max","griffiths","sw844yz",32,NA,TRUE,FALSE,TRUE,FALSE,TRUE
12633,"katie","thompson","m914ef",49,NA,TRUE,TRUE,FALSE,FALSE,TRUE
4785,"jacob","scott","ex909lu",25,NA,TRUE,FALSE,TRUE,FALSE,TRUE
11390,"kayleigh","griffiths","m560sf",38,"[29351]",TRUE,FALSE,TRUE,FALSE,TRUE
9493,"jemima","reid","ls849zl",9,NA,TRUE,FALSE,TRUE,FALSE,TRUE
18255,"emily","cook","po872dg",74,NA,TRUE,FALSE,TRUE,FALSE,TRUE
15715,"toby","marshall","po163jh",55,NA,TRUE,TRUE,TRUE,FALSE,TRUE
2187,"finlay","kelly","de654yl",34,"[27589]",TRUE,FALSE,TRUE,FALSE,TRUE
26356,"scarlett","thomson","sw946ze",4,NA,TRUE,FALSE,TRUE,FALSE,TRUE
22376,"muhammad","matthews","so598xd",48,NA,TRUE,FALSE,TRUE,FALSE,TRUE
7305,"jasmine","allen","hr802ju",44,NA,TRUE,FALSE,TRUE,FALSE,TRUE
22478,"megan","thomson","so751eg",52,"[31631]",TRUE,FALSE,TRUE,FALSE,TRUE
25262,"will","barnes","sw625td",45,NA,TRUE,FALSE,TRUE,FALSE,TRUE
2108,"leon","thomson","de624bh",45,"[30218]",TRUE,FALSE,TRUE,FALSE,TRUE
9399,"isabel","thompson","ls837bt",54,NA,TRUE,FALSE,TRUE,FALSE,TRUE
21631,"kai","wilson","so433hd",63,NA,TRUE,TRUE,TRUE,FALSE,TRUE
11501,"aaliyah","thomson","m625ub",26,NA,TRUE,FALSE,TRUE,FALSE,TRUE
13239,"sarah","murray","nw277by",21,NA,TRUE,FALSE,TRUE,FALSE,TRUE
8414,"lewis","owen","ls451gq",44,NA,TRUE,TRUE,TRUE,FALSE,TRUE
23809,"julia","stewart","sw207ut",0,NA,TRUE,FALSE,TRUE,FALSE,TRUE
4122,"courtney","carter","ex683dj",33,"[31897]",TRUE,TRUE,TRUE,FALSE,TRUE
28730,"ruby","stevens","ex909lt",2,"[4757]",TRUE,FALSE,TRUE,FALSE,TRUE
7104,"dylan","walker","hr72au",75,NA,TRUE,FALSE,TRUE,FALSE,TRUE
25851,"chloe","butler","sw844yu",4,"[28819]",TRUE,FALSE,TRUE,FALSE,TRUE
13727,"ciaran","hughes","nw374jq",92,NA,TRUE,FALSE,TRUE,FALSE,TRUE
32382,"kane","collins","ls451gl",54,"[8274]",TRUE,TRUE,TRUE,FALSE,TRUE
32571,"ewan","butler","ls433yr",57,"[8246]",TRUE,FALSE,TRUE,FALSE,TRUE
16482,"lily","thompson","po398rp",73,NA,TRUE,TRUE,FALSE,FALSE,TRUE
10745,"theodore","kelly","m432za",23,NA,TRUE,TRUE,TRUE,FALSE,TRUE
10462,"ashton","richards","m284zz",56,NA,TRUE,TRUE,FALSE,FALSE,TRUE
12611,"lucy","richards","m913jn",19,NA,TRUE,FALSE,TRUE,FALSE,TRUE
668,"daniel","roberts","de167qg",45,"[27594]",TRUE,TRUE,TRUE,FALSE,TRUE
32655,"kieran","griffith","so147pb",0,NA,TRUE,FALSE,TRUE,FALSE,TRUE
17152,"harvey","owen","po493zr",41,"[28478]",TRUE,TRUE,TRUE,FALSE,TRUE
27571,"lucy","parker","sw844yu",90,"[25860]",TRUE,TRUE,TRUE,FALSE,TRUE
21519,"jake","wright","so433ha",68,"[32061]",TRUE,TRUE,TRUE,FALSE,TRUE
29644,"freya","hunt","sw433xw",14,"[24750]",TRUE,FALSE,TRUE,FALSE,TRUE
1076,"olivia","reid","de256nj",51,NA,TRUE,FALSE,TRUE,FALSE,TRUE
5681,"lacey","scott","hr335uz",38,"[32988]",TRUE,FALSE,TRUE,FALSE,TRUE
27907,"matt","harris","rg787rd",50,NA,TRUE,TRUE,FALSE,FALSE,TRUE
8758,"jessica","brown","ls480en",27,NA,TRUE,FALSE,TRUE,FALSE,TRUE
16046,"lucy","price","po201zz",5,"[28414]",TRUE,FALSE,TRUE,FALSE,TRUE
11182,"imogen","foster","m518dt",29,NA,TRUE,TRUE,FALSE,FALSE,TRUE
27036,"ecca","chapman","nw584tj",39,NA,TRUE,FALSE,TRUE,FALSE,TRUE
18452,"william","bell","po94yh",40,NA,TRUE,FALSE,TRUE,FALSE,TRUE
30398,"ieo","hughes","rg721pn",58,NA,TRUE,FALSE,TRUE,FALSE,TRUE
21486,"kian","baker","so371dg",32,"[31497]",TRUE,FALSE,TRUE,FALSE,TRUE
23435,"hannah","price","sw122ah",26,"[29310]",TRUE,TRUE,FALSE,FALSE,TRUE
10650,"reuben","harvey","m352tx",16,"[30399]",TRUE,FALSE,TRUE,FALSE,TRUE
1893,"gracie","mason","de533tl",77,NA,TRUE,FALSE,TRUE,FALSE,TRUE
20184,"william","chapman","rg764yt",21,"[30224]",TRUE,FALSE,TRUE,FALSE,TRUE
9072,"max","scott","ls670fr",25,"[31977]",TRUE,TRUE,FALSE,FALSE,TRUE
13101,"harvey","richardson","nw277bw",32,NA,TRUE,TRUE,TRUE,FALSE,TRUE
22874,"seth","roberts","so897qx",14,NA,TRUE,TRUE,FALSE,FALSE,TRUE
16036,"logan","wood","po201zz",0,NA,TRUE,TRUE,TRUE,FALSE,TRUE
22572,"freddie","patel","so751ej",31,NA,TRUE,TRUE,TRUE,FALSE,TRUE
32443,"isodel","james","de654yn",33,NA,TRUE,TRUE,FALSE,FALSE,TRUE
14518,"maryam","wilson","nw500aw",31,NA,TRUE,FALSE,TRUE,FALSE,TRUE
32207,"brooke","hill","m80na",26,"[12147]",TRUE,FALSE,TRUE,FALSE,TRUE
19946,"lola","richards","rg744uw",50,NA,TRUE,FALSE,TRUE,FALSE,TRUE
22144,"kayleigh","thomas","so53wq",23,NA,TRUE,FALSE,TRUE,FALSE,TRUE
21955,"hannah","russell","so527ss",53,"[29641]",TRUE,TRUE,TRUE,FALSE,TRUE
30815,"dauid","robertson","de13hj",35,NA,TRUE,FALSE,TRUE,FALSE,TRUE
8749,"logan","bell","ls480en",26,NA,TRUE,TRUE,TRUE,FALSE,TRUE
26058,"charles","wright","sw846ad",66,NA,TRUE,FALSE,TRUE,FALSE,TRUE
20168,"chloe","ward","rg764ys",0,"[32298]",TRUE,FALSE,TRUE,FALSE,TRUE
16699,"maddison","green","po465ye",80,"[28354]",TRUE,FALSE,TRUE,FALSE,TRUE
15153,"lexie","anderson","nw817tj",29,"[29537]",TRUE,FALSE,TRUE,FALSE,TRUE
19694,"annabel","mitchell","rg602jz",44,NA,TRUE,FALSE,TRUE,FALSE,TRUE
25964,"emma","mills","sw844yy",5,"[28883,25962,32730]",TRUE,TRUE,FALSE,FALSE,TRUE
3565,"ella","smith","ex341wu",6,NA,TRUE,TRUE,TRUE,FALSE,TRUE
11290,"freya","clark","m560sb",24,NA,TRUE,TRUE,TRUE,FALSE,TRUE
8954,"harley","butler","ls58tz",45,NA,TRUE,FALSE,TRUE,FALSE,TRUE
29686,"layla","powell","nw886ej",79,"[15271]",TRUE,FALSE,TRUE,FALSE,TRUE
16916,"ella","king","po466dx",2,NA,TRUE,FALSE,TRUE,FALSE,TRUE
1947,"lexi","carter","de533tl",70,NA,TRUE,FALSE,TRUE,FALSE,TRUE
24517,"lucas","bailey","sw359aw",25,NA,TRUE,FALSE,TRUE,FALSE,TRUE
3663,"mohammed","gibson","ex400wu",91,"[32316]",TRUE,TRUE,TRUE,FALSE,TRUE
2992,"alfie","wright","ex227rx",39,NA,TRUE,TRUE,FALSE,FALSE,TRUE
4680,"amelie","white","ex909ls",63,NA,TRUE,FALSE,TRUE,FALSE,TRUE
6023,"isabel","richards","hr459gf",51,NA,TRUE,TRUE,TRUE,FALSE,TRUE
6608,"thomas","hughes","hr559ul",99,NA,TRUE,FALSE,TRUE,FALSE,TRUE
28998,"keira","bell","nw472lq",72,"[14183]",TRUE,FALSE,TRUE,FALSE,TRUE
11840,"jessica","richardson","m682hx",8,NA,TRUE,TRUE,TRUE,FALSE,TRUE
27906,"logan","smith","nw886ej",8,"[15244]",TRUE,TRUE,TRUE,FALSE,TRUE
4108,"nicole","gibson","ex683dj",56,"[26635]",TRUE,TRUE,TRUE,FALSE,TRUE
27857,"mollie","price","rg720zr",42,"[19797]",TRUE,FALSE,TRUE,FALSE,TRUE
2075,"connor","richards","de624bh",63,"[26956]",TRUE,FALSE,TRUE,FALSE,TRUE
27847,"lewis","jacksom","ex121ub",59,NA,TRUE,TRUE,TRUE,FALSE,TRUE
27933,"lrcey","moore","ls670fr",4,NA,TRUE,FALSE,TRUE,FALSE,TRUE
11853,"joshua","smith","m682hx",56,NA,TRUE,FALSE,TRUE,FALSE,TRUE
28765,"benjamin","evans","rg150re",26,"[18732]",TRUE,FALSE,TRUE,FALSE,TRUE
28482,"owen","owen","nw436bq",9,"[13908]",TRUE,TRUE,FALSE,FALSE,TRUE
5339,"lily","smith","hr174xy",28,NA,TRUE,FALSE,TRUE,FALSE,TRUE
3795,"emilia","reid","ex483qy",4,NA,TRUE,FALSE,TRUE,FALSE,TRUE
31140,"millie","evans","de500jh",20,"[1762]",TRUE,FALSE,TRUE,FALSE,TRUE
19775,"ruby","carter","rg656ew",51,NA,TRUE,TRUE,TRUE,FALSE,TRUE
12398,"alice","brown","m820gl",6,NA,TRUE,FALSE,TRUE,FALSE,TRUE
27873,"bethany","lewis","sw293nf",18,"[24049]",TRUE,FALSE,TRUE,FALSE,TRUE
9237,"daniel","green","ls74dl",6,NA,TRUE,FALSE,TRUE,FALSE,TRUE
9898,"lola","knight","ls906pa",6,NA,TRUE,TRUE,FALSE,FALSE,TRUE
14901,"robert","wright","nw662nh",33,"[31856]",TRUE,FALSE,TRUE,FALSE,TRUE
17221,"jayden","phillips","po536xl",52,NA,TRUE,FALSE,TRUE,FALSE,TRUE
24262,"oliver","matthews","sw318hb",39,NA,TRUE,FALSE,TRUE,FALSE,TRUE
12777,"samuel","baker","nw130qn",3,NA,TRUE,FALSE,TRUE,FALSE,TRUE
7124,"isaac","price","hr777ad",25,NA,TRUE,FALSE,TRUE,FALSE,TRUE
17872,"freya","fisher","po774ux",35,NA,TRUE,TRUE,TRUE,FALSE,TRUE
2068,"lewis","harrison","de624bh",42,"[30825]",TRUE,FALSE,TRUE,FALSE,TRUE
22745,"isaac","allen","so761qy",27,"[31469]",TRUE,FALSE,TRUE,FALSE,TRUE
17797,"james","holmes","po752qg",44,NA,TRUE,FALSE,TRUE,FALSE,TRUE
29744,"connor","anderson","sw332tj",14,"[24510]",TRUE,TRUE,TRUE,FALSE,TRUE
10734,"samuel","edwards","m428pq",14,NA,TRUE,FALSE,TRUE,FALSE,TRUE
13340,"ben","hughes","nw290zx",37,"[27733]",TRUE,FALSE,TRUE,FALSE,TRUE
22831,"mya","young","so879un",32,NA,TRUE,FALSE,TRUE,FALSE,TRUE
6839,"edward","smith","hr619te",31,NA,TRUE,FALSE,TRUE,FALSE,TRUE
4995,"michael","shaw","ex982lx",77,NA,TRUE,FALSE,TRUE,FALSE,TRUE
228,"lucas","wilson","de13hl",52,"[32533]",TRUE,FALSE,TRUE,FALSE,TRUE
